Marca,Modelo,Año,Precio,Combustible,Transmisión,Kilometraje
Mini,Hatch Cooper S,2022,27900.0,Gasolina,Automática - Secuencial,20550
Ford,Explorer,2022,55000.0,Gasolina,Automática - Secuencial,21332
Toyota,Yaris Cross,2024,21000.0,Gasolina-Hibrido,Automática - Secuencial,19841
Subaru,Impreza Sport,2024,24000.0,Gasolina,Automática,1000
Geely,Okavango,2023,19900.0,Hibrido,Automática,37462
Bmw,420I,2023,42900.0,Gasolina,Automática,14367
Toyota,Corolla,2019,18990.0,Gasolina,Automática - Secuencial,40353
Nissan,Sentra,2024,18290.0,Gasolina,Mecánica,4100
Dodge,Durango,2023,65000.0,Gasolina,Automática - Secuencial,16432
Lexus,Ux 250H Luxury,2019,24990.0,Gasolina-Hibrido,Automática,53129
Lexus,Rx 450H F Sport,2023,56990.0,Gasolina-Hibrido,Automática,24265
Lexus,Lbx,2025,35490.0,Hibrido,Automática - Secuencial,4452
Toyota,Agya,2024,12990.0,Gasolina,Automática,14496
Mazda,Cx-5,2025,26490.0,Gasolina,Automática,8788
Porsche,911 Carrera,2017,85000.0,Gasolina,Automática - Secuencial,20000
Hyundai,I20,2022,14490.0,Gasolina,Automática,38232
Toyota,Yaris Cross,2025,22500.0,Gasolina,Automática,11850
Jaguar,F-Type R Coupe,2016,75900.0,Gasolina,Automática - Secuencial,14000
Lexus,Gs,2018,53900.0,Gasolina,Automática - Secuencial,25000
Jaguar,Xe,2016,18400.0,Gasolina,Automática - Secuencial,45600
Audi,Q7,2019,36900.0,Gasolina,Automática - Secuencial,69500
Toyota,Land Cruiser Prado,2019,39000.0,Gasolina,Automática,71092
Jeep,Grand Cherokee Trackhawk,2019,88900.0,Gasolina,Automática - Secuencial,33000
Bmw,M2 Coupe,2024,97000.0,Gasolina,Automática - Secuencial,7000
Land Rover,Range Rover P530 Autobiography,2025,260000.0,Gasolina-Hibrido,Automática - Secuencial,100
Mercedes Benz,Amg A 45S 4 Matic,2022,73000.0,Gasolina,Automática - Secuencial,9400
Bmw,M140I,2019,34900.0,Gasolina,Automática - Secuencial,22000
Bmw,M4,2015,54900.0,Gasolina,Automática - Secuencial,40000
Bmw,X1 18I,2019,26900.0,Gasolina,Automática - Secuencial,28300
Chevrolet,Tahoe,2020,85900.0,Gasolina,Automática - Secuencial,20000
Bmw,X3 20I,2021,36500.0,Gasolina,Automática - Secuencial,47300
Jaguar,E-Pace,2018,29900.0,Gasolina,Automática - Secuencial,60600
Lexus,Rc F,2023,95900.0,Gasolina,Automática - Secuencial,2600
Toyota,Tacoma,2017,62900.0,Gasolina,Mecánica,45700
Toyota,Yaris Cross,2025,23990.0,Gasolina,Automática - Secuencial,1500
Toyota,Hilux,2023,53900.0,Diesel,Automática - Secuencial,22700
Toyota,Corolla Cross,2024,24900.0,Gasolina,Automática,31325
Audi,Rs3 Sedan,2018,65900.0,Gasolina,Automática - Secuencial,51800
Bmw,X7 M60I,2023,140000.0,Gasolina,Automática - Secuencial,23000
Bmw,M3,2013,48900.0,Gasolina,Automática - Secuencial,56800
Audi,Rs3,2016,60900.0,Gasolina,Automática - Secuencial,43700
Toyota,Hilux,2020,26400.0,Diesel,Mecánica,43788
Jeep,Grand Cherokee Laredo,2019,28000.0,Gasolina,Automática,55996
Ford,Escape Se,2018,16500.0,Gasolina,Automática,59681
Mini,Countryman Jcw,2025,60991.0,Gasolina,Automática,1206
Bmw,M2 Coupe,2017,45900.0,Gasolina,Automática - Secuencial,31000
Mini,Countryman Cooper S,2025,47991.0,Gasolina,Automática,3889
Hyundai,Elantra,2024,21990.0,Gasolina,Automática,15
Ford,Escape,2018,16700.0,Gasolina,Automática,40663
Jeep,Renegade,2023,21500.0,Gasolina,Automática,15867
Subaru,Xv,2018,18500.0,Gasolina,Automática,114147
Hyundai,Santa Fe,2023,34490.0,Gasolina,Automática,10839
Toyota,Hilux,2026,40900.0,Diesel,Mecánica,39
Volkswagen,Taos,2022,22900.0,Gasolina,Automática - Secuencial,16000
Volvo,Xc40,2024,46000.0,ElÃ©ctrico,Automática,8510
Hyundai,Creta Grand,2025,26990.0,Gasolina,Automática,31
Toyota,Rush,2023,21500.0,Gasolina,Automática,24345
Toyota,Corolla Cross,2023,25000.0,Gasolina,Automática - Secuencial,32884
Hyundai,Santa Fe,2022,30490.0,Gasolina,Automática,7166
Hyundai,Tucson,2024,32490.0,Gasolina,Automática - Secuencial,15
Jetour,X70 Plus,2023,19900.0,Gasolina,Automática - Secuencial,25000
Mazda,Cx-60,2024,36000.0,Gasolina,Automática,22256
Mercedes Benz,Glc 200,2025,59900.0,Hibrido,Automática,7000
Audi,A6,2021,36900.0,Gasolina,Automática - Secuencial,19000
Chevrolet,Tracker,2023,19990.0,Gasolina,Automática,22000
Ford,Territory,2021,21990.0,Gasolina,Automática,31000
Kia,Sorento,2020,24990.0,Gasolina,Automática,41800
Toyota,Hilux,2021,28900.0,Diesel,Mecánica,118767
Peugeot,Pickup Kp1,2022,19990.0,Diesel,Mecánica,30000
Hyundai,Tucson,2019,17500.0,Gasolina,Automática,71000
Kia,Niro,2022,20500.0,Gasolina-Hibrido,Automática - Secuencial,34000
Hyundai,Accent,2024,16990.0,Gas GLP,Mecánica,20
Ford,Ranger Limited,2024,43500.0,Diesel,Automática - Secuencial,21000
Volkswagen,Tiguan Allspace,2023,27000.0,Gasolina,Automática - Secuencial,25700
Chevrolet,Onix,2022,11500.0,Gasolina,Mecánica,52200
Haval,Jolion,2023,17990.0,Gasolina,Automática,11626
Mazda,3,2017,14490.0,Gasolina,Automática,66089
